"Numero de Vertices",Clocks"
"15788","73690000"
"15828","74250000"
"15828","36300000"
"15828","72190000"
"15828","72680000"
"15828","71060000"
"15828","59850000"
"15828","54930000"
"15934","51470000"
"15934","60600000"
"15934","71270000"
"15934","54180000"
"16012","72660000"
"16012","61340000"
"16043","35910000"
"16043","73080000"
"16043","71970000"
"16043","44660000"
"16043","44180000"
"16043","73180000"
"16245","67680000"
"16245","64500000"
"16245","43860000"
"16245","41950000"
"16245","64660000"
"16245","61060000"
"16245","64970000"
"16245","60680000"
"16245","59810000"
"16245","63370000"
"16452","39710000"
"16471","36300000"
"16471","78470000"
"16471","58040000"
"16471","62550000"
"16471","42270000"
"16661","39730000"
"16661","35930000"
"16661","64950000"
"16661","62230000"
"16661","82160000"
"16661","68750000"
"16661","42020000"
"16851","39830000"
"16851","54410000"
"16851","45870000"
"16851","55620000"
"16851","67220000"
"16851","39880000"
