"Numero de Vertices",Clocks"
"32515","133240000"
"32641","145800000"
"32641","77050000"
"32797","74440000"
"32797","80380000"
"32797","62820000"
"33012","123630000"
"33012","147710000"
"33106","145350000"
"33106","134000000"
"33106","72820000"
"33106","70730000"
"33312","155140000"
"33312","139850000"
"33312","153860000"
"33477","99020000"
"33477","76980000"
"33477","137930000"
"33588","103300000"
"33588","141700000"
"33588","110850000"
"33588","169800000"
"33687","75380000"
"33687","134670000"
"33687","80320000"
"33770","119000000"
