"Numero de Vertices",Clocks"
"67963","157310000"
"68022","311440000"
"68022","294249984"
"68049","296520000"
"68049","145400000"
"68074","311240000"
"68074","142560000"
"68074","312340000"
"68092","152680000"
"68092","236450000"
"68092","141930000"
"68092","259310000"
"68092","260650000"
"68092","249380000"
"68092","290180000"
"68092","295510016"
"68092","284340000"
"68092","201600000"
"68092","141300000"
"68092","150740000"
"68092","176630000"
"68092","144950000"
"68092","148760000"
"68092","147490000"
"68092","280409984"
"68092","203250000"
"68213","143320000"
"68213","135650000"
"68213","241940000"
"68213","292030016"
"68213","314580000"
"68213","159650000"
"68213","114570000"
"68213","134040000"
"68269","132700000"
"68269","133430000"
"68269","132380000"
"68269","133410000"
"68269","114320000"
"68269","133610000"
"68269","132780000"
"68269","132990000"
"68269","132580000"
"68269","132900000"
"68269","132680000"
"68269","113820000"
"68269","114180000"
"68269","114020000"
"68269","132520000"
"68269","133140000"
"68269","132280000"
"68269","115990000"
"68269","114050000"
"68269","132870000"
"68396","133060000"
"68396","114830000"
"68396","120920000"
"68396","114340000"
"68396","133560000"
"68396","132900000"
"68396","133700000"
"68396","132130000"
"68396","126530000"
"68396","112610000"
"68396","134210000"
"68396","117220000"
"68396","139890000"
"68396","137280000"
"68396","136250000"
"68396","135590000"
"68396","126640000"
"68396","133040000"
"68396","134720000"
"68396","126600000"
"68537","128980000"
"68537","134700000"
"68537","134000000"
"68537","134230000"
"68537","133770000"
"68537","114920000"
"68537","139870000"
"68537","134200000"
"68537","132680000"
"68537","132250000"
"68537","132960000"
"68537","128340000"
"68537","132950000"
"68537","133870000"
"68537","133210000"
"68537","135150000"
"68537","131200000"
"68537","133080000"
"68537","133500000"
"68537","134420000"
"68537","131940000"
"68537","136580000"
"68537","138240000"
"68537","114130000"
"68537","114070000"
"68537","114060000"
"68537","138670000"
"68537","139570000"
"68537","112750000"
"68537","114750000"
"68773","115590000"
"68773","115960000"
"68773","133980000"
"68773","133310000"
"68773","134120000"
