"Numero de Vertices",Clocks"
"67963","17150000"
"68061","14750000"
"68061","15070000"
"68061","25750000"
"68061","14970000"
"68061","15310000"
"68200","29880000"
"68200","14850000"
"68200","13000000"
"68200","14930000"
"68200","12850000"
"68200","15090000"
"68200","14540000"
"68200","14420000"
"68200","20360000"
"68200","14150000"
"68200","30010000"
"68200","23460000"
"68200","30040000"
"68508","15320000"
"68508","27480000"
"68508","30320000"
"68508","17470000"
"68508","14980000"
"68508","30290000"
"68508","29770000"
"68508","23540000"
"68508","26210000"
"68508","15010000"
"68508","13230000"
"68508","31290000"
"68508","31160000"
"68508","15310000"
"68508","12930000"
"68508","12850000"
"68508","31540000"
"68508","14400000"
"68508","23470000"
"68508","22540000"
"68508","22750000"
"68508","14390000"
"68508","15530000"
"68508","30750000"
"68508","12830000"
"68508","12800000"
"68508","12720000"
"68897","12790000"
"68897","11570000"
"68897","12800000"
"68897","12970000"
"68897","12830000"
"68897","11730000"
"68897","11660000"
"68897","11720000"
"68897","12880000"
"68897","11650000"
"68897","12790000"
"68897","12920000"
"68897","12780000"
"68897","13370000"
"68897","12920000"
"68897","12880000"
"68897","12820000"
"68897","11600000"
"68897","12840000"
"68897","11760000"
"68897","12900000"
"68897","11610000"
"68897","11660000"
"68897","13450000"
"68897","13070000"
"68897","11730000"
"68897","11130000"
"68897","11840000"
"68897","11120000"
"68897","11170000"
"68897","11450000"
"68897","12840000"
"68897","13350000"
"68897","11990000"
"68897","12270000"
"69233","13170000"
"69233","12820000"
"69233","12350000"
"69233","12940000"
"69233","13080000"
"69233","12950000"
"69233","12990000"
"69233","12990000"
"69233","13020000"
"69233","13200000"
"69303","11710000"
"69303","11770000"
"69303","11900000"
"69303","12960000"
"69331","12890000"
"69331","11640000"
"69331","11720000"
"69331","11680000"
"69331","11760000"
"69331","11310000"
"69331","11790000"
"69331","13120000"
"69331","12940000"
"69331","11770000"
"69331","12930000"
"69331","13150000"
"69331","11630000"
"69331","13020000"
"69331","11630000"
"69331","11810000"
"69331","11570000"
"69331","11880000"
"69331","11820000"
"69331","11760000"
"69331","12880000"
"69331","11620000"
"69331","11660000"
"69331","11660000"
"69331","11630000"
"69331","13000000"
"69331","12960000"
"69331","11890000"
"69331","11950000"
"69331","13500000"
"69331","13590000"
"69331","13110000"
"69331","11820000"
"69599","11790000"
"69599","12910000"
"69599","12970000"
"69599","11780000"
"69599","7800000"
"69599","7450000"
"69599","7900000"
"69599","8440000"
"69599","5370000"
"69599","8390000"
"69599","7740000"
"69599","7910000"
"69599","5380000"
"69599","8400000"
"69599","8470000"
"69599","7810000"
"69599","8490000"
"69599","8450000"
"69599","8510000"
"69599","8440000"
"69599","8480000"
"69599","8420000"
"69599","5360000"
"69599","8440000"
"69599","7120000"
"69692","4990000"
"69692","8470000"
"69692","9040000"
"69692","8850000"
"69692","6390000"
"69692","7520000"
"69692","6970000"
"69692","7860000"
"69692","7860000"
"69692","7730000"
"69692","5400000"
"69692","5360000"
"69692","7760000"
"69692","7750000"
"69692","5390000"
"69692","7070000"
"69692","8850000"
"69692","8480000"
"69692","7790000"
"69692","8470000"
"69692","7960000"
"69692","8540000"
"69692","5480000"
"69692","5340000"
"69692","5410000"
"69692","5320000"
"69692","6240000"
"69692","8840000"
"69692","7860000"
"69692","8480000"
"69692","7860000"
"69692","7840000"
"69692","7910000"
"69692","8500000"
"69692","8570000"
"69692","8470000"
"69692","7930000"
"69692","7140000"
"69692","8600000"
"69692","6760000"
"69692","10190000"
"69692","7770000"
"69692","6220000"
"69692","8170000"
"69692","8340000"
"69926","8380000"
"69926","8630000"
