temporal_iteration	number_of_vertices	rho_max	upsilon_min	%_rho_>_rho_alpha	%_upsilon_<_eta
1	67963	1	0.6000000238	0	0.0001277523115
1	67963	1.025185466	0.5931618214	0.0004884647205	3.757420927e-05
2	68061	0.999979496	0.6023514271	0	0
2	68061	1.035359144	0.5991427302	0.0005252691917	7.503845609e-06
3	68200	0.9999463558	0.6052254438	0	0
3	68200	1.118603826	0.5995844007	0.001108298777	7.488505162e-06
4	68508	0.9998216033	0.6002895832	0	0
4	68508	1.12956512	0.5982906818	0.001230003079	7.454564638e-06
5	68897	0.9998421669	0.6058505177	0	0
5	68897	1.114479661	0.5986563563	0.001045218669	7.412898412e-06
6	69233	0.9998378754	0.6038689017	0	0
6	69233	1.016362548	0.5999338627	0.0002950679336	7.376698704e-06
7	69303	0.999879539	0.6030493975	0	0
7	69303	1.007538438	0.5997310877	5.895314098e-05	7.369142622e-06
8	69331	0.999977529	0.6280202866	0	0
8	69331	1.07779634	0.5990644097	0.0005892925547	7.366156751e-06
9	69599	0.9998591542	0.6071401238	0	0
9	69599	1.103926539	0.5987681746	0.0003008467611	7.337726402e-06
10	69692	0.9998018742	0.6032655239	0	0
10	69692	1.097686172	0.599832952	0.0004250111815	7.327778803e-06
11	69926	0.9997385144	0.6149614453	0	0
