"Numero de Vertices",Clocks"
"67963","26810000"
"68224","27420000"
"68224","16330000"
"68224","13210000"
"68224","29420000"
"68468","23370000"
"68468","25640000"
"68468","30440000"
"68468","29440000"
"68468","30360000"
"68818","13250000"
"68818","16680000"
"68818","27100000"
"68818","14790000"
"68929","17750000"
"68929","19920000"
"68929","30720000"
"68929","17340000"
"69047","27220000"
"69047","30250000"
"69047","23790000"
"69047","23830000"
"69047","30270000"
"69327","30380000"
"69327","30590000"
"69327","15230000"
"69327","27730000"
"69327","14220000"
"69327","30560000"
"69327","14470000"
"69799","30550000"
"69799","27090000"
"69799","15350000"
"69799","14710000"
"69908","14690000"
"69908","26520000"
"69908","14430000"
"69908","15510000"
"69908","14550000"
"69908","27480000"
"69908","14490000"
"70144","14610000"
"70144","22860000"
"70144","14910000"
"70144","14850000"
"70224","31310000"
"70224","15150000"
