"Numero de Vertices",Clocks"
"142253","1.49504e+10"
"142385","1.52601303e+10"
"142385","-1.304848998e+10"
"142385","1.106234982e+10"
"142385","1.12181801e+10"
"142485","1.122624e+10"
"142485","-1.304816026e+10"
"142485","9525950464"
"142520","1.055158989e+10"
"142520","-9548359680"
"142520","7279830016"
"142520","7265690112"
"142520","7928600064"
"142520","9456959488"
"142520","7822020096"
"142686","8696890368"
"142686","-9699879936"
"142686","7451239936"
"142686","8334870016"
"142724","7783000064"
"142724","-9442780160"
"142724","6687040000"
"142724","6656640000"
"142724","6117850112"
"142724","6867570176"
"142822","7632940032"
"142822","-9127419904"
"142822","5294680064"
"142822","5277599744"
"142822","5274330112"
"142822","5227400192"
"142822","5311980032"
"142822","5297019904"
"142822","5337430016"
"142822","5143819776"
"142968","3027640064"
"142968","-3917659904"
"142968","2667630080"
"142968","2456900096"
"142968","993059968"
"143015","798849984"
"143015","-1049360000"
"143015","726780032"
"143015","716380032"
"143015","702620032"
"143015","702649984"
"143015","697400000"
"143015","715160000"
"143015","705880000"
"143015","701030016"
"143015","697249984"
"143015","687299968"
"143015","717840000"
"143015","739859968"
"143205","788140032"
"143205","-1032110016"
"143205","682179968"
"143205","687390016"
"143205","691089984"
"143205","668520000"
"143205","682510016"
"143205","675489984"
"143205","690230016"
"143319","721289984"
"143319","-1000990016"
