"Numero de Vertices",Clocks"
"142253","2290000"
"142385","4120000"
"142385","3590000"
"142385","1730000"
"142385","3600000"
"142485","1790000"
"142485","1740000"
"142485","1670000"
"142520","1810000"
"142520","3610000"
"142520","1720000"
"142520","1740000"
"142520","3650000"
"142520","1750000"
"142520","3620000"
"142686","3620000"
"142686","1780000"
"142686","1840000"
"142686","1820000"
"142724","1770000"
"142724","3620000"
"142724","1750000"
"142724","3440000"
"142724","1820000"
"142724","1730000"
"142822","1790000"
"142822","3640000"
"142822","1830000"
"142822","1740000"
"142822","1730000"
"142822","1800000"
"142822","1710000"
"142822","1800000"
"142822","1740000"
"142822","1740000"
"142968","1360000"
"142968","1120000"
"142968","1120000"
"142968","1320000"
"142968","720000"
"143015","320000"
"143015","320000"
"143015","330000"
"143015","320000"
"143015","330000"
"143015","320000"
"143015","320000"
"143015","320000"
"143015","320000"
"143015","320000"
"143015","330000"
"143015","320000"
"143015","320000"
"143015","320000"
"143205","320000"
"143205","310000"
"143205","320000"
"143205","310000"
"143205","320000"
"143205","320000"
"143205","320000"
"143205","320000"
"143205","320000"
"143319","320000"
"143319","320000"
