"Numero de Vertices",Clocks"
"142253","36450000"
"142385","75440000"
"142385","73240000"
"142385","36500000"
"142385","73760000"
"142485","36470000"
"142485","40350000"
"142485","38080000"
"142520","36310000"
"142520","67370000"
"142520","36690000"
"142520","36710000"
"142520","73590000"
"142520","37200000"
"142520","73920000"
"142686","73410000"
"142686","36390000"
"142686","36700000"
"142686","36760000"
"142724","38760000"
"142724","72620000"
"142724","36910000"
"142724","74000000"
"142724","36570000"
"142724","36810000"
"142822","36590000"
"142822","70060000"
"142822","36780000"
"142822","37160000"
"142822","36840000"
"142822","36740000"
"142822","36670000"
"142822","36590000"
"142822","35700000"
"142822","38140000"
"142968","27050000"
"142968","17430000"
"142968","17120000"
"142968","26830000"
"142968","11120000"
"143015","5040000"
"143015","5030000"
"143015","5030000"
"143015","5030000"
"143015","5040000"
"143015","5030000"
"143015","5040000"
"143015","5040000"
"143015","5040000"
"143015","5040000"
"143015","5040000"
"143015","5050000"
"143015","5040000"
"143015","5030000"
"143205","5040000"
"143205","5040000"
"143205","5040000"
"143205","5060000"
"143205","5050000"
"143205","5050000"
"143205","5050000"
"143205","5040000"
"143205","5040000"
"143319","5060000"
"143319","5040000"
