"Numero de Vertices",Clocks"
"142253","489520000"
"142385","490180000"
"142385","479540000"
"142485","415480000"
"142520","371849984"
"142520","585520000"
"142520","745960000"
"142520","386569984"
"142520","422020000"
"142686","372649984"
"142686","742659968"
"142724","383929984"
"142724","565049984"
"142724","507020000"
"142724","753680000"
"142822","371969984"
"142822","373689984"
"142822","377280000"
"142822","388800000"
"142822","371929984"
"142822","373129984"
"142822","372540000"
"142822","375300000"
"142968","169160000"
"142968","278630016"
"142968","111380000"
"143015","53340000"
"143015","53330000"
"143015","53460000"
"143015","53370000"
"143015","53340000"
"143015","53340000"
"143015","53360000"
"143015","53350000"
"143015","53360000"
"143015","53360000"
"143015","53370000"
"143015","53360000"
"143205","53430000"
"143205","53440000"
"143205","53410000"
"143205","53420000"
"143205","53420000"
"143205","53460000"
"143205","53410000"
