"Numero de Vertices",Clocks"
"142253","1.434911027e+10"
"143175","1.410084045e+10"
"143175","-1.152522957e+10"
"143175","1.105508045e+10"
"143641","1.122128998e+10"
"143641","-1.049487974e+10"
"143641","8754530304"
"143641","8970470400"
"144118","7779359744"
"144118","-9963650048"
"144118","8373940224"
"144373","7648979968"
"144373","-1.001694003e+10"
"144373","7340510208"
"144373","6958119936"
"144373","6625549824"
"145274","7132499968"
"145274","-7423540224"
"145274","6583690240"
"145274","6501899776"
"145880","6868149760"
"145880","-8450500096"
"145880","5803919872"
"145880","6223799808"
"146400","7101069824"
"146400","-7830920192"
"146400","5446810112"
"146400","6665220096"
"146400","5250979840"
"147027","5101499904"
"147027","-6047680000"
"147027","4598790144"
"147027","4555319808"
"147400","4214540032"
"147400","-5755290112"
"147400","4073120000"
"147400","4248890112"
"147731","4086810112"
"147731","-5579850240"
