"Numero de Vertices",Clocks"
"142253","1640000"
"143175","1270000"
"143175","2630000"
"143175","2510000"
"143641","1210000"
"143641","2420000"
"143641","1230000"
"143641","2460000"
"144118","1530000"
"144118","1290000"
"144118","1460000"
"144373","1240000"
"144373","2980000"
"144373","1280000"
"144373","1540000"
"144373","1200000"
"145274","3780000"
"145274","2500000"
"145274","1600000"
"145274","1410000"
"145880","1260000"
"145880","1260000"
"145880","2520000"
"145880","2410000"
"146400","1730000"
"146400","1300000"
"146400","1260000"
"146400","1290000"
"146400","1290000"
"147027","2580000"
"147027","1270000"
"147027","1360000"
"147027","1230000"
"147400","1590000"
"147400","1290000"
"147400","1530000"
"147400","1270000"
"147731","1670000"
"147731","1300000"
