"Numero de Vertices",Clocks"
"142253","36610000"
"143175","35230000"
"143175","56950000"
"143175","72420000"
"143641","36120000"
"143641","48790000"
"143641","36170000"
"143641","71790000"
"144118","35970000"
"144118","35660000"
"144118","36250000"
"144373","36500000"
"144373","73170000"
"144373","36540000"
"144373","36290000"
"144373","36990000"
"145274","71500000"
"145274","55500000"
"145274","36760000"
"145274","38530000"
"145880","37130000"
"145880","41140000"
"145880","74030000"
"145880","72420000"
"146400","36910000"
"146400","36640000"
"146400","36560000"
"146400","36670000"
"146400","36990000"
"147027","74140000"
"147027","36960000"
"147027","36740000"
"147027","37170000"
"147400","35880000"
"147400","36740000"
"147400","37550000"
"147400","37400000"
"147731","36980000"
"147731","37830000"
