"Numero de Vertices",Clocks"
"142253","1.256156979e+10"
"142677","1.39437097e+10"
"142677","-1.280572006e+10"
"142677","9021440000"
"143061","1.001085952e+10"
"143061","-1.127602995e+10"
"143061","8878359552"
"143061","8887329792"
"143061","8534249984"
"143624","9463879680"
"143624","-9142309888"
"143624","8520609792"
"143750","7775969792"
"143750","-9369589760"
"143750","6273129984"
"143750","5754169856"
"144036","7124029952"
"144036","-7724490240"
"144036","7026579968"
"144036","7033619968"
"144279","6013199872"
"144279","-7694550016"
"144279","6214539776"
"144279","5434480128"
"144440","6163420160"
"144440","-6891780096"
"144440","5993280000"
"144440","5149029888"
"144440","5126360064"
"144440","5291189760"
"144793","4938809856"
"144793","-6247860224"
"144793","3856979968"
"144793","4018650112"
"144793","4297549824"
"144793","3936950016"
"144793","3892290048"
"145130","4312500224"
"145130","-5512670208"
"145130","3700559872"
"145130","3889920000"
"145130","2658560000"
"145130","2934089984"
"145355","2698650112"
"145355","-4107510016"
