"Numero de Vertices",Clocks"
"142253","1730000"
"142677","1270000"
"142677","2580000"
"142677","1230000"
"143061","1780000"
"143061","2570000"
"143061","3600000"
"143061","1270000"
"143061","1770000"
"143624","1260000"
"143624","1830000"
"143624","2420000"
"143750","1270000"
"143750","1270000"
"143750","1210000"
"143750","1230000"
"144036","1280000"
"144036","1250000"
"144036","1250000"
"144036","1200000"
"144279","1560000"
"144279","1240000"
"144279","1270000"
"144279","2600000"
"144440","1270000"
"144440","2580000"
"144440","1290000"
"144440","1270000"
"144440","1220000"
"144440","1290000"
"144793","1570000"
"144793","2590000"
"144793","1500000"
"144793","1230000"
"144793","1530000"
"144793","1200000"
"144793","1560000"
"145130","1350000"
"145130","1540000"
"145130","1340000"
"145130","1490000"
"145130","1310000"
"145130","1140000"
"145355","970000"
"145355","1140000"
