"Numero de Vertices",Clocks"
"142253","70630000"
"142677","35700000"
"142677","65810000"
"142677","35880000"
"143061","64430000"
"143061","63620000"
"143061","72390000"
"143061","35690000"
"143061","35950000"
"143624","36100000"
"143624","43980000"
"143624","71160000"
"143750","36580000"
"143750","50450000"
"143750","36450000"
"143750","60900000"
"144036","35930000"
"144036","35830000"
"144036","36480000"
"144036","36560000"
"144279","36260000"
"144279","36190000"
"144279","36580000"
"144279","72850000"
"144440","36960000"
"144440","48400000"
"144440","36290000"
"144440","36430000"
"144440","36740000"
"144440","36520000"
"144793","36690000"
"144793","73040000"
"144793","36340000"
"144793","36700000"
"144793","36450000"
"144793","34930000"
"144793","36300000"
"145130","36460000"
"145130","36980000"
"145130","35950000"
"145130","36460000"
"145130","36650000"
"145130","26770000"
"145355","24260000"
"145355","26790000"
