"Numero de Vertices",Clocks"
"142253","467740000"
"142677","702790016"
"143061","616510016"
"143061","603900032"
"143061","512260000"
"143624","399409984"
"143750","663379968"
"143750","382489984"
"144036","408670016"
"144036","709900032"
"144279","610489984"
"144279","383590016"
"144440","382550016"
"144440","631120000"
"144440","514969984"
"144440","384880000"
"144793","388980000"
"144793","388310016"
"144793","403220000"
"144793","393809984"
"144793","382529984"
"145130","389600000"
"145130","387460000"
"145130","390120000"
"145130","287880000"
