"Numero de Vertices",Clocks"
"142253","1.484409037e+10"
"143264","1.757151027e+10"
"143264","-1.21789399e+10"
"143264","1.088143974e+10"
"143743","1.113031987e+10"
"143743","-9482500096"
"143743","8148930048"
"143995","9831759872"
"143995","-9503960064"
"143995","7380420096"
"144270","8611430400"
"144270","-9844580352"
"144270","7417359872"
"144444","7148049920"
"144444","-8529849856"
"144444","7370720256"
"144701","6005740032"
"144701","-9003270144"
"144701","6371330048"
"145002","5586800128"
"145002","-7066610176"
"145002","5259310080"
"145002","5575490048"
"145449","5806819840"
"145449","-6498169856"
"145449","4872459776"
"145627","4668939776"
"145627","-8037680128"
"145627","5074869760"
"145768","4731049984"
"145768","-7033090048"
