"Numero de Vertices",Clocks"
"142253","3420000"
"143264","1210000"
"143264","1290000"
"143264","1230000"
"143743","1230000"
"143743","1260000"
"143743","1250000"
"143995","1280000"
"143995","2500000"
"143995","1240000"
"144270","1270000"
"144270","2440000"
"144270","1250000"
"144444","1260000"
"144444","1530000"
"144444","2400000"
"144701","1550000"
"144701","1230000"
"144701","3060000"
"145002","1270000"
"145002","3100000"
"145002","1260000"
"145002","1450000"
"145449","3270000"
"145449","1550000"
"145449","1530000"
"145627","3210000"
"145627","1820000"
"145627","1520000"
"145768","1790000"
"145768","1580000"
