"Numero de Vertices",Clocks"
"142253","47260000"
"143264","35940000"
"143264","36270000"
"143264","36080000"
"143743","35920000"
"143743","36070000"
"143743","36210000"
"143995","36490000"
"143995","72790000"
"143995","36320000"
"144270","35990000"
"144270","57090000"
"144270","35930000"
"144444","36370000"
"144444","38930000"
"144444","73160000"
"144701","36400000"
"144701","37090000"
"144701","73200000"
"145002","36710000"
"145002","67070000"
"145002","36780000"
"145002","36340000"
"145449","73620000"
"145449","36300000"
"145449","36720000"
"145627","72820000"
"145627","48300000"
"145627","72770000"
"145768","36820000"
"145768","40810000"
