"Numero de Vertices",Clocks"
"142253","1.413479014e+10"
"142677","1.245412966e+10"
"142677","-1.117404979e+10"
"142677","1.077197005e+10"
"143061","1.082940006e+10"
"143061","-1.018754048e+10"
"143061","9447319552"
"143061","8944730112"
"143061","1.000175002e+10"
"143624","9439590400"
"143624","-1.056113971e+10"
"143624","6729129984"
"143750","7454219776"
"143750","-8792389632"
"143750","6634840064"
"143750","7339639808"
"144036","7927790080"
"144036","-8214909952"
"144036","5418849792"
"144036","6944489984"
"144276","7476599808"
"144276","-7152130048"
"144276","6418910208"
"144276","6955650048"
"144437","6182470144"
"144437","-8167600128"
"144437","5229779968"
"144437","5130899968"
"144437","5932720128"
"144437","5493949952"
"144787","4547930112"
"144787","-5656659968"
"144787","4089189888"
"144787","3959539968"
"144787","4271490048"
"144787","3946490112"
"144787","3881060096"
"145128","4256049920"
"145128","-5558989824"
"145128","3668770048"
"145128","2713890048"
"145128","2756069888"
"145128","2907320064"
"145352","2127010048"
"145352","-2071320064"
