"Numero de Vertices",Clocks"
"142253","1520000"
"142677","2890000"
"142677","1290000"
"142677","1260000"
"143061","1880000"
"143061","1270000"
"143061","3680000"
"143061","2520000"
"143061","1760000"
"143624","1260000"
"143624","3690000"
"143624","1260000"
"143750","1270000"
"143750","1220000"
"143750","1200000"
"143750","1250000"
"144036","1300000"
"144036","1270000"
"144036","1260000"
"144036","2500000"
"144276","3080000"
"144276","2480000"
"144276","2460000"
"144276","1290000"
"144437","2570000"
"144437","1290000"
"144437","2580000"
"144437","1220000"
"144437","2470000"
"144437","2650000"
"144787","1550000"
"144787","1280000"
"144787","1570000"
"144787","1260000"
"144787","1510000"
"144787","1270000"
"144787","1520000"
"145128","1280000"
"145128","1500000"
"145128","1350000"
"145128","860000"
"145128","940000"
"145128","1140000"
"145352","950000"
"145352","900000"
