"Numero de Vertices",Clocks"
"142253","36870000"
"142677","69900000"
"142677","36400000"
"142677","35910000"
"143061","35160000"
"143061","36000000"
"143061","72660000"
"143061","72510000"
"143061","36000000"
"143624","53730000"
"143624","72320000"
"143624","36430000"
"143750","36030000"
"143750","35680000"
"143750","35870000"
"143750","45530000"
"144036","36420000"
"144036","43780000"
"144036","36580000"
"144036","63330000"
"144276","75810000"
"144276","61570000"
"144276","73290000"
"144276","36150000"
"144437","72990000"
"144437","36310000"
"144437","73310000"
"144437","36430000"
"144437","72920000"
"144437","73620000"
"144787","36460000"
"144787","37620000"
"144787","36250000"
"144787","36420000"
"144787","38010000"
"144787","36540000"
"144787","36150000"
"145128","36620000"
"145128","37660000"
"145128","36240000"
"145128","16940000"
"145128","26860000"
"145128","27000000"
"145352","26870000"
"145352","17330000"
