"Numero de Vertices",Clocks"
"142253","434950016"
"142677","517900000"
"143061","631779968"
"143061","527520000"
"143061","549830016"
"143624","379870016"
"143750","403020000"
"143750","497289984"
"144036","389800000"
"144036","385160000"
"144276","402280000"
"144276","472209984"
"144437","382470016"
"144437","756640000"
"144437","505500000"
"144437","636830016"
"144787","386860000"
"144787","388929984"
"144787","402790016"
"144787","388220000"
"144787","390390016"
"145128","406110016"
"145128","394900000"
"145128","291070016"
"145128","286489984"
