"Numero de Vertices",Clocks"
"15788","5150000"
"15879","4790000"
"15879","4260000"
"15879","4280000"
"15879","4860000"
"15879","5100000"
"15960","4830000"
"15960","4700000"
"15960","3960000"
"15960","5500000"
"16034","4760000"
"16034","5170000"
"16034","5210000"
"16067","4440000"
"16067","4860000"
"16067","5650000"
"16067","3480000"
"16186","4750000"
"16186","3640000"
"16186","5350000"
"16186","4560000"
"16186","4490000"
"16322","4940000"
"16322","5630000"
"16322","5090000"
"16322","5330000"
"16322","4210000"
"16322","6370000"
"16533","5230000"
"16533","4330000"
"16533","5280000"
"16598","3420000"
"16598","4860000"
"16598","4380000"
"16598","5010000"
"16751","6030000"
"16751","4720000"
"16751","5050000"
"16785","2590000"
"16785","4890000"
