"Numero de Vertices",Clocks"
"142253","1.473448038e+10"
"143855","1.47102505e+10"
"143855","-1.180311962e+10"
"143855","1.050130022e+10"
"144336","1.166296986e+10"
"144336","-1.046110003e+10"
"144336","9398689792"
"144740","9332440064"
"144740","-9644709888"
"144740","8223510016"
"145306","8677590016"
"145306","-8726649856"
"145306","7969140224"
"145306","7867950080"
"146098","7593849856"
"146098","-8293400064"
"146098","7354310144"
"146338","6515129856"
"146338","-7830450176"
"146338","6601350144"
"146338","6279479808"
"146927","6350380032"
"146927","-8362310144"
"146927","6369449984"
"147201","6005080064"
"147201","-7472359936"
"147201","5446289920"
"147201","5801090048"
"147592","5409480192"
"147592","-6768650240"
"147592","5727949824"
"147723","4852780032"
"147723","-5605590016"
