"Numero de Vertices",Clocks"
"15788","200000"
"15935","140000"
"15935","210000"
"15935","140000"
"15958","210000"
"15958","260000"
"15958","230000"
"15958","230000"
"15958","220000"
"15986","240000"
"15986","160000"
"15986","450000"
"15986","160000"
"15986","230000"
"15986","180000"
"15986","260000"
"15986","240000"
"15986","250000"
"15986","150000"
"16098","300000"
"16098","150000"
"16098","180000"
"16098","180000"
"16118","200000"
"16118","180000"
"16118","160000"
"16124","210000"
"16124","180000"
"16124","160000"
"16124","200000"
"16124","130000"
"16124","240000"
"16124","140000"
"16124","220000"
"16124","110000"
"16124","150000"
"16124","110000"
"16124","110000"
"16124","110000"
"16186","80000"
"16186","180000"
"16186","180000"
"16186","120000"
"16186","160000"
"16202","140000"
"16202","150000"
"16202","140000"
"16202","90000"
"16215","110000"
"16215","150000"
"16215","180000"
"16215","180000"
"16215","100000"
"16252","130000"
"16252","110000"
