"Numero de Vertices",Clocks"
"32515","1698989952"
"32629","1690429952"
"32629","-1409910016"
"32629","1348370048"
"32689","1295840000"
"32689","-1465849984"
"32689","1148120064"
"32689","1107600000"
"32716","1029249984"
"32716","-1044840000"
"32716","905969984"
"32716","1123910016"
"32716","1028969984"
"32774","873609984"
"32774","-1089289984"
"32774","998280000"
"32799","962840000"
"32799","-1036739968"
"32799","894880000"
"32823","816819968"
"32823","-1168600064"
"32823","850609984"
"32823","614259968"
"32823","815400000"
"32853","731520000"
"32853","-882009984"
"32853","721640000"
"32853","683889984"
"32853","850950016"
"32853","733190016"
"32853","487680000"
"32916","532600000"
"32916","-685000000"
"32916","418489984"
"32916","423600000"
"32916","439420000"
"32916","418560000"
"32916","422680000"
"32916","426990016"
"32916","408329984"
"32916","427480000"
"32916","417289984"
"32916","416840000"
"32916","425400000"
"32916","415649984"
"33080","445129984"
"33080","-534340000"
"33080","414020000"
"33080","419700000"
"33094","387190016"
"33094","-512550016"
