"Numero de Vertices",Clocks"
"32515","250000"
"32770","310000"
"32770","170000"
"32770","340000"
"32770","450000"
"33003","430000"
"33003","180000"
"33003","190000"
"33101","450000"
"33101","220000"
"33101","240000"
"33181","480000"
"33181","400000"
"33181","220000"
"33181","380000"
"33181","400000"
"33348","470000"
"33348","400000"
"33348","190000"
"33348","410000"
"33348","400000"
"33348","190000"
"33544","230000"
"33544","220000"
"33544","210000"
"33544","190000"
"33544","630000"
"33544","250000"
"33544","430000"
"33544","240000"
"33544","230000"
"33708","570000"
"33708","310000"
"33708","320000"
"33708","220000"
"33708","310000"
"33708","190000"
"33708","280000"
"33708","220000"
"33708","250000"
"33708","190000"
"33708","260000"
"33708","190000"
"33708","260000"
"33708","200000"
"33708","300000"
"33708","220000"
"33893","290000"
"33893","220000"
"33893","260000"
"33893","230000"
"33893","250000"
"33893","220000"
"33941","260000"
"33941","180000"
"33941","130000"
"33941","100000"
"33941","130000"
"34005","100000"
"34005","160000"
