"Numero de Vertices",Clocks"
"67963","15480000"
"68545","29920000"
"68545","15120000"
"68545","25450000"
"68545","20140000"
"68545","23480000"
"69046","24280000"
"69046","21210000"
"69046","23100000"
"69142","21210000"
"69142","22100000"
"69142","20270000"
"69142","21580000"
"69142","19870000"
"69464","19580000"
"69464","23260000"
"69464","20440000"
"69550","26920000"
"69550","25090000"
"69550","18760000"
"69550","19360000"
"69550","21390000"
"69795","18430000"
"69795","20390000"
"69795","19850000"
"69795","26080000"
"69795","18610000"
"69974","21660000"
"69974","22170000"
"69974","21850000"
"69974","20290000"
"69974","21710000"
"69974","17460000"
"69974","17340000"
"70199","11910000"
"70199","14500000"
"70199","12250000"
"70199","13330000"
"70247","14300000"
"70247","12490000"
"70247","13610000"
"70247","12020000"
"70247","14440000"
"70247","8820000"
"70247","13890000"
"70247","14840000"
"70247","12790000"
"70247","15830000"
"70247","12870000"
"70247","11600000"
"70588","12340000"
"70588","12670000"
