"Numero de Vertices",Clocks"
"142253","1.404382003e+10"
"144676","1.433447014e+10"
"144676","-1.217146982e+10"
"144676","1.141500006e+10"
"145217","1.078595994e+10"
"145217","-1.038782976e+10"
"145217","9696029696"
"145817","9250100224"
"145817","-9871559680"
"145817","9469100032"
"146524","8306359808"
"146524","-9142870016"
"146524","7106950144"
"147119","7834690048"
"147119","-8990690304"
"147119","7154079744"
"147511","6902669824"
"147511","-8245740032"
"147511","6657469952"
"147879","6693400064"
"147879","-7759009792"
"147879","6037029888"
"148176","5698079744"
"148176","-7247519744"
"148176","6033079808"
"148612","5764530176"
"148612","-6551459840"
"148612","5188939776"
"148898","4695439872"
"148898","-6924299776"
