"Numero de Vertices",Clocks"
"15788","52850000"
"16037","59790000"
"16139","54610000"
"16212","60280000"
"16277","60110000"
"16277","70730000"
"16339","63180000"
"16339","46640000"
"16339","49040000"
"16428","71210000"
"16428","61730000"
"16428","59510000"
"16428","63210000"
"16428","58880000"
"16546","52020000"
"16546","64140000"
"16654","52380000"
"16654","35630000"
"16654","33500000"
"16654","35950000"
"16754","33200000"
"16754","35450000"
"16754","36330000"
"16754","34450000"
"16754","32980000"
