"Numero de Vertices",Clocks"
"32515","1811280000"
"33004","1450259968"
"33004","-1260640000"
"33004","1058300032"
"33227","1414720000"
"33227","-1142669952"
"33227","1011350016"
"33227","888470016"
"33494","997809984"
"33494","-996609984"
"33494","911100032"
"33494","839169984"
"33494","919560000"
"33763","894590016"
"33763","-1124380032"
"33763","746300032"
"33763","856929984"
"33763","759390016"
"33763","928520000"
"33940","912499968"
"33940","-1057049984"
"33940","683219968"
"33940","884649984"
"33940","977830016"
"33940","630819968"
"33940","629080000"
"34101","752350016"
"34101","-860160000"
"34101","684129984"
"34101","476760000"
"34101","419950016"
"34101","422390016"
"34101","416360000"
"34249","427510016"
"34249","-525840000"
"34249","381820000"
"34249","395500000"
"34249","379300000"
"34249","392080000"
"34249","402060000"
"34321","253360000"
"34321","-235070000"
"34321","179510000"
"34341","151900000"
"34341","-217510000"
"34341","184010000"
"34341","180930000"
"34391","152220000"
"34391","-212060000"
