"Numero de Vertices",Clocks"
"32515","131840000"
"33004","72280000"
"33227","84310000"
"33227","116780000"
"33494","100680000"
"33494","125080000"
"33494","109630000"
"33763","90480000"
"33763","133070000"
"33763","125840000"
"33763","110140000"
"33940","152930000"
"33940","95750000"
"33940","84370000"
"33940","149860000"
"33940","91370000"
"34101","89570000"
"34101","139420000"
"34101","76480000"
"34101","79950000"
"34101","79900000"
"34249","67390000"
"34249","66240000"
"34249","67010000"
"34249","69460000"
"34249","67390000"
"34321","29170000"
"34341","33100000"
"34341","34090000"
