"Numero de Vertices",Clocks"
"142253","38280000"
"142615","41390000"
"142615","47260000"
"142615","38120000"
"142757","51900000"
"142757","64640000"
"142757","45920000"
"142865","37640000"
"142865","37700000"
"142865","37420000"
"142865","52670000"
"142865","66770000"
"143023","37620000"
"143023","40530000"
"143023","57450000"
"143075","37690000"
"143075","37920000"
"143075","37380000"
"143075","39710000"
"143146","40640000"
"143146","37320000"
"143146","48570000"
"143146","37790000"
"143241","39510000"
"143241","37690000"
"143241","37750000"
"143281","68330000"
"143281","47190000"
"143281","37650000"
"143281","5060000"
"143281","5070000"
"143435","5070000"
"143435","5080000"
"143435","5060000"
"143435","5070000"
"143497","5070000"
"143497","5090000"
