"Numero de Vertices",Clocks"
"32515","180000"
"33411","260000"
"33411","400000"
"33411","210000"
"33765","580000"
"33765","510000"
"33765","230000"
"33918","250000"
"33918","380000"
"33918","240000"
"34148","690000"
"34148","260000"
"34148","740000"
"34338","470000"
"34338","450000"
"34338","250000"
"34480","510000"
"34480","730000"
"34480","200000"
"34716","500000"
"34716","530000"
"34716","410000"
"34837","720000"
"34837","200000"
"34837","530000"
"35008","210000"
"35008","500000"
"35008","250000"
"35215","500000"
"35215","440000"
