"Numero de Vertices",Clocks"
"32515","210000"
"33817","540000"
"33817","440000"
"33817","220000"
"34282","450000"
"34282","480000"
"34282","450000"
"34562","220000"
"34562","240000"
"34562","240000"
"34789","460000"
"34789","570000"
"34789","250000"
"34953","490000"
"34953","250000"
"34953","490000"
"35096","510000"
"35096","400000"
"35096","440000"
"35198","550000"
"35198","250000"
"35198","510000"
"35344","420000"
"35344","610000"
"35344","500000"
"35511","520000"
"35511","240000"
"35511","590000"
"35511","210000"
"35659","300000"
"35659","240000"
