"Numero de Vertices",Clocks"
"32515","200000"
"34491","360000"
"34491","260000"
"34491","260000"
"35176","290000"
"35176","300000"
"35176","430000"
"35536","310000"
"35536","290000"
"35536","260000"
"35782","300000"
"35782","280000"
"35782","350000"
"35983","300000"
"35983","500000"
"35983","280000"
"36250","420000"
"36250","300000"
"36250","340000"
"36479","310000"
"36479","360000"
"36479","280000"
"36815","380000"
"36815","310000"
"36815","370000"
"37184","350000"
"37184","320000"
"37184","300000"
"37690","330000"
"37690","330000"
