temporal_iteration	number_of_vertices	gradient_max	gradient_min	gradient_media
1	32515	30,91983795	1,31E-026	3,587129354
2	32515	33,58070374	1,03E-020	2,633067131
2	32515	33,58070374	1,03E-020	2,633067131
3	32515	35,10466766	2,19E-017	2,169442177
3	32515	35,10466766	2,19E-017	2,169442177
4	32515	35,61099243	1,78E-017	1,877484441
4	32515	35,61099243	1,78E-017	1,877484441
5	32515	35,83352661	1,71E-013	1,670029521
5	32515	35,83352661	1,71E-013	1,670029521
6	32515	35,95039368	8,08E-013	1,511992931
6	32515	35,95039368	8,08E-013	1,511992931
7	32515	36,01939392	6,47E-011	1,385950208
7	32515	36,01939392	6,47E-011	1,385950208
8	32515	36,06357574	6,20E-010	1,282012343
8	32515	36,06357574	6,20E-010	1,282012343
9	32515	36,09358597	5,29E-009	1,194042921
9	32515	36,09358597	5,29E-009	1,194042921
10	32515	36,11489868	1,59E-008	1,051073313
10	32515	36,11489868	1,59E-008	1,051073313
11	32515	36,13057709	3,80E-008	1,031073313
11	32515	36,13057709	3,80E-008	1,031073313
